Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,lat,lng,provider,display_name,quality_score
МБАЛ - Д-Р АСЕН ВЕЛЕВ ЕООД,Благоевград,РАЗЛОГ,Разлог,УЛ. СВ. СВ. КИРИЛ И МЕТОДИЙ 2,"МАГДАЛЕНА НИКОЛОВА КОЦАКОВА, БОЖИДАР АСЕНОВ ВЕЛЕВ, РАДКА ВЛАДИМИРОВА БОЖИКОВА","0747/89282,0896/787799",41.8903333,23.4593266,nominatim_free,"Св.Св.Кирил и Методий, кв. Васил Левски, Разлог, Благоевград, 2760, България",84
МБАЛ - ШУМЕН АД,Шумен,ШУМЕН,Шумен,ул. Васил Априлов 63,"ДИМИТЪР ГЕОРГИЕВ КОСТОВ, ЮЛИЯ ДИМИТРОВА ИЛИЕВА, АТАНАС ГЕОРГИЕВ АТАНАСОВ, НЕДКО ПЛАМЕНОВ ТОДОРОВ, ВИКТОР МИНЧЕВ ДИМИТРОВ, ВАЛЕНТИН ТОДОРОВ СЕМКОВ","054/800751,054/855755,054/800733",43.2755071,26.9171495,nominatim_free,"МБАЛ-Шумен, 63, Васил Априлов, Азалия, м. Бялата пръст, Шумен, 9705, България",100
МБАЛ Благоевград АД,Благоевград,БЛАГОЕВГРАД,Благоевград,УЛ. СЛАВЯНСКА 60,"ДИМИТЪР ГЕОРГИЕВ ДИМИТРОВ, МАГДАЛЕНА СТЕФАНОВА СИМЕОНОВА, ПЕТЪР САШОВ ГАЙДАРСКИ, ЕКАТЕРИНА ИЛИЕВА ЧАКАЛСКА, КРАСИМИР ГЕОРГИЕВ МИХАЙЛОВ, Д-Р ВЛАДИМИР ВИТКОВ ПАНДЕВ, ОГНЯН СТЕФАНОВ МИТЕВ","073/8292329,073/884129,0879/535253",42.0257371,23.0928539,nominatim_free,"ДМСГД-Благоевград, 60, Славянска, кв. Баларбаши, Благоевград, 2700, България",100
МБАЛ ВАРНА КЪМ ВМА,Варна,ВАРНА,Варна,БУЛ. ХРИСТО СМИРНЕНСКИ 3,"ХРИСТО СТОЯНОВ БОЗОВ, ПОЛК. ПРОФ. Д-Р ИВАЙЛО ПЕТРОВ ВЪЖАРОВ, ДМ","052386210,052386334",43.2255758,27.8971827,nominatim_free,"бл. 3, бул. Христо Смирненски, Северна промишлена зона, ж.к. Победа, Варна, Младост, Варна, 9025, България",100
МБАЛ ВЕЛИМЕД ЕООД,Пазарджик,ВЕЛИНГРАД,Велинград,бул. Съединение 49,"ГЕОРГИ АНГЕЛОВ ДОШЕВ, ЙОРДАНКА ТОДОРОВА САВОВА, ЙОРДАНКА ТОДОРОВА САВОВА, ТОДОР ВАСИЛЕВ УШЕВ, КОСТАДИН НИКОЛОВ ПАУНОВ",0359/54298,42.0220417,23.9891152,nominatim_free,"49, Съединение, кв. Чепино, Велинград, Пазарджик, 4600, България",100
МБАЛ Д-Р БРАТАН ШУКЕРОВ АД,Смолян,СМОЛЯН,Смолян,бул. България 2,"МАРИН ДИМИТРОВ ДАРАКЧИЕВ, АНТОН ГОРЧЕВ ЛАЛОВ, ЕЛЕНА ТОШЕВА СЛАВКОВА-СИДЕНКО, ДОЦ. Д-Р ВЛАДИСЛАВ БОРИСОВ ИВАНОВ, МАРИН ДИМИТРОВ ДАРАКЧИЕВ, НИНА САШЕВА ШЕХОВА-ЯНКОВА","0301/62395,0301/62549",41.5734342,24.7186627,nominatim_free,"МБАЛ ""Д-р Братан Шукеров"", 2, бул. България, ж.к. Нов център, Смолян, 4700, България",90
МБАЛ Д-Р ХРИСТО СТАМБОЛСКИ ЕООД,Стара Загора,КАЗАНЛЪК,Казанлък,ул. Старозагорска 16,Д-Р КЕТИ ПЕТРОВА МАНАЛОВА-ВЛАДКОВА,"0431/65300,0431/65665",42.6208524,25.4033733,nominatim_free,"МБАЛ ”Д-р Христо Стамболски”, 16, Старозагорска, Казанлък, Стара Загора, 6102, България",90
МБАЛ Д-р Иван Селимински - Сливен АД,Сливен,СЛИВЕН,Сливен,ул. Сергей Румянцев 2; бул. Хаджи Димитър 41а; ул. Стефан Караджа 2; ул. Криволак 13; НК Сливенски минерални бани; бул. Христо Ботев 1,"Д-Р ВАСИСЛАВ ПЕТРОНИЕВ ПЕТРОВ, Д-Р МЕТОДИ БОРИСОВ ПОПСТОЙКОВ, Д-Р ЙОРДАН НИКОЛАЕВ КОТОВ","044/611701,044/624326",42.6991087,25.8612628,nominatim_free,"Сергей Румянцев, Козарево, Твърдица, Сливен, 8891, България",95
МБАЛ Д-р Тота Венкова АД Габрово,Габрово,ГАБРОВО,Габрово,ул. д-р Илиев-Детския 1,"МИНКО ЦВЯТКОВ МИХОВ, БОЖИДАР БОГОМИЛОВ ПАРАЛЧЕВ, НЕЛИ ИВАНОВА САВЧЕВА","066/800243,066/808911",42.8705166,25.3076052,nominatim_free,"1, Д-р Илиев - Детския, кв. Боровото, кв. Йонково, Габрово град, Габрово, 5300, България",80
МБАЛ ДР АТАНАС ДАФОВСКИ АД,Кърджали,КЪРДЖАЛИ,Кърджали,бул. Беломорски 53,ТОДОР ДИМИТРОВ ЧЕРКЕЗОВ,"0361/65811,0361/65809",41.6457771,25.3753548,nominatim_free,"МБАЛ „ Д-р Атанас Дафовски"", 53, бул. Беломорски, Център, Кърджали, 6600, България",90
МБАЛ ДР СЕРГЕЙ РОСТОВЦЕВ ЕООД,Кърджали,МОМЧИЛГРАД,Момчилград,ул. Стефан Караджа 1,"ДЖАН САДУЛЛА МАЧАН, МЛАДЕН АСЕНОВ КЪРОВ","036316109,03631/8118",41.5305399,25.4122335,nominatim_free,"МБАЛ ""Д-р Сергей Ростовцев"", 1, Стефан Караджа, кв. 11, Момчилград, Кърджали, 6800, България",100
МБАЛ Майчин дом-Варна ЕООД,Варна,ВАРНА,Варна,ул. Мир 1,Д-Р МАКСИМ ИСАК ЯКОВ,"052/383850,052/383858",43.2210538,27.9288098,nominatim_free,"бл. 1, Мир, кв. Левски, Варна, Приморски, Варна, 9026, България",80
МБАЛ Ниамед ООД гр. Стара Загора,Стара Загора,СТАРА ЗАГОРА,Стара Загора,ул. Стефан Стамболов 29,"Д-Р НИКОЛАЙ ГЕОРГИЕВ ХРИСТОВ, ИВАН ДИНЕВ ИВАНОВ, СЕВДАЛИНКА ДИМИТРОВА ПЕНЧЕВА, Д-Р МАРИЯ ИВАНОВА АПОСТОЛОВА","042/611611,042/611610",42.4249167,25.6175503,nominatim_free,"Частна МБАЛ ""НИА МЕД"", 29, Стефан Стамболов, кв. Възраждане, Стара Загора, 6000, България",100
МБАЛ Р.Ангелова АД,Перник,ПЕРНИК,Перник,ул. Брезник 2,"СИМЕОН ВАСИЛЕВ СИМЕОНОВ, ЛЮДМИЛ СТАНКОВ НИКОЛОВ, ВЯРА МИХАЙЛОВА ЦЕРОВСКА, ИВАН ГЕОРГИЕВ ЕВЛОГИЕВ, АНАТОЛИ ВЕРЧОВ МИТОВ, ВАЛЕРИ ИВАНОВ ДИМИТРОВ, АНАТОЛИ ВЕРЧОВ МИТОВ, ЕМИЛ ЕМИЛОВ НЕНКОВ, ЯВОР НИКОЛАЕВ ДРЕНСКИ",076/601360,42.6158515,23.0331867,nominatim_structured,"Брезник, Перник Център, Перник, 2300, България",85
МБАЛ СВ. ЙОАН РИЛСКИ ООД,Ямбол,ЯМБОЛ,Ямбол,ул. Българка 2,"АНТОАНЕТА СЛАВЧЕВА АНТОНОВА-МАРИНОВА, ИБРЯМ АЛИЕВ МУСТАФОВ, ВЛАДИМИР КОЙЧЕВ ДЕМИРЕВ, НУРТЕН ОСМАНОВА ШЕКЕРОВА","046633031,046633032,046633033",42.4838631,26.4963944,nominatim_free,"СХБАЛ Св. Йоан Рилски, 2, Българка, ж.к. Златен рог, Ямбол, 8600, България",90
МБАЛ СВЕТА АННА-ВАРНА АД,Варна,ВАРНА,Варна,БУЛ. ЦАР ОСВОБОДИТЕЛ 100,"Д-Р КРАСИМИР ПЕТРОВ ПЕТРОВ, ЖАН ЕМИЛОВ ДОРЕВСКИ, ЛИДИЯ ДУНОВА ПЕТКОВА, Д-Р ВЕСЕЛИН НИКОЛОВ ИВАНОВ, ПРОФ. Д-Р ДИКО ДРАГАНОВ БОШНАКОВ, Д-Р ГАЛЕН ДИМИТРОВ ШИВАРОВ, ИРИНА ГЕОРГИЕВА ВЕЛИНОВА, Д-Р НИКОЛАЙ ПЕТРОВ КОЛАРОВ",052/648257,43.2136534,27.9182217,nominatim_free,"СБАЛ по кардиология, 100, бул. Цар Освободител, Цветен квартал, Варна, Приморски, Варна, 9000, България",100
МБАЛ СВЕТИ ИВАН РИЛСКИ - 2003 ООД,Кюстендил,ДУПНИЦА,Дупница,ул. Иван Вазов 26,ЕНИ МИЛЧОВ ЛЕФТЕРОВ,0701/59500,42.3022572,23.1610483,nominatim_free,"Иван Вазов, Булгартабак - Бончук, Червен брег, Дупница, Кюстендил, 2620, България",95
МБАЛ СЕРДИКАМЕД ЕООД,София (столица),ГР.СОФИЯ,София,ул. Дамян Груев 6,"Д-Р МЕТОДИ ВАНГЕЛОВ ЯНКОВ, Д-Р МАРИЯ МЕТОДИЕВА ЯНКОВА, Д-Р ТИНКА АНГЕЛОВА ДАНЧЕВА","0888949958,02/9049100",42.696685,23.3138139,nominatim_free,"6, Дамян Груев, Център, София, Красно село, Столична, София-град, 1303, България",100
МБАЛ ТРАКИЯ ЕООД,Стара Загора,СТАРА ЗАГОРА,Стара Загора,бул. Патриарх Евтимий 84 и ул. Дунав 1,Д-Р ИВАН МИЛАНОВ ЗЛАТКОВ,"042/988988,042/987777",42.6186673,25.3884656,nominatim_free,"1, Патриарх Евтимий, ж.к. Васил Левски, Казанлък, Стара Загора, 6100, България",100
МБАЛ Теодоси Витанов ЕООД Трявна,Габрово,ТРЯВНА,Трявна,ул. Лясков дял 1,"ТАТЯНА СТЕФАНОВА СТАНЧЕВА, СВЕТЛА ИВАНОВА БРЪНЕКОВА","0677/62167,0677/2104",42.8685509,25.4881026,nominatim_free,"1А, Лясков дял, кв. Качаунска махала, кв. Хитревци, Койчовци, Трявна, Габрово, 5350, България",90
МБАЛ Уни Хоспитал ООД,Пазарджик,ПАНАГЮРИЩЕ,Панагюрище,УЛ. ГЕОРГИ БЕНКОВСКИ 100,"ЦВЕТОЛЮБ МИТЕВ МАРИНОВ, РУМЯНА ТОДОРОВА ВЪЛКОВА, СИЛВИ КИРИЛОВ ПЕТРОВ, АНГЕЛ ПЕТРОВ ПРОДАНОВ, КРАСИМИРА СПАСОВА ЧАЧОВА-РАНЧЕВА, ЯВОР НИКОЛАЕВ ДРЕНСКИ, СНЕЖАНА ТОДОРОВА ТУХЧИЕВА, ЙОРДАН ТОДОРОВ БОЯДЖИЕВ, СТЕФАЛИН АЛЕКСАНДРОВ ПОПОВ, МАЯ ДИМИТРОВА ВЛАЙКОВА, ЛЮБОМИР ДИМИТРОВ ЙОРДАНОВ, БИЛЯНА НИКОЛАЕВА ПЕНЕВА - СТОЯНОВА, ЛУЧИЯ АЛЕКСАНДРОВА ДОБРЕВА, БОРИСЛАВ ГЕОРГИЕВ АЦЕВ, МИХАИЛ ПАНАЙОТОВ ХРИСТОВ","0357/62372,0357/67074,0357/88542",42.4933375,24.1854482,nominatim_free,"МБАЛ ""Уни Хоспитал"", 100, Георги Бенковски, Панагюрище, Пазарджик, 4500, България",100
МБАЛ Хаджи Димитър ООД,Сливен,СЛИВЕН,Сливен,бул. Хаджи Димитър 19,"Д-Р ПЕНКО МИНЧЕВ ПЕНКОВ, МИЛЕН ПЕНКОВ ПЕНКОВ, ГЕРГАНА ПЕНКОВА АЛЕКСАНДРОВА",044/618502,42.6783029,26.3189413,nominatim_free,"19, бул. Хаджи Димитър, Център, кв. Клуцохор, Сливен, 8800, България",100
МБАЛ Христо Ботев АД Враца,Враца,ВРАЦА,Враца,бул. Втори юни 66,"Д-Р КЕТИ ДИТКОВА ЦЕНОВА-СРЕДКОВА, ВЛАДИСЛАВ ХРИСТОВ ИВАНОВ, ОРЛИН ВЕСЕЛИНОВ ЦВЕТКОВ, СВЕТОЗАР БОРИСОВ ЛУКАНОВ, Д-Р ПЕТЪР ЙОРДАНОВ КЕРЕМЕДЧИЕВ, ЕВГЕНИ ГЕОРГИЕВ ЛЮБЕНОВ","092/665110, 0884709012",43.1963546,23.5590234,nominatim_free,"МБАЛ „Христо Ботев"", 66, бул. Втори юни, кв. Химик, Враца, 3001, България",90
МБАЛ Централ онко хоспитал ООД Пловдив,Пловдив,ПЛОВДИВ,Пловдив,бул. Васил Априлов 20,"Д-Р НАДЕЖДА АСЕНОВА КРУМОВА-МИХАЙЛОВА, Д-Р ЗАПРИН ТОДОРОВ ПЕПЕОВ","032/990007, 0877734307",42.1615858,24.7297188,nominatim_free,"бул. Васил Априлов, Захарна фабрика, Северен, Пловдив, 4020, България",95
МБАЛ-Пловдив към ВМА София,Пловдив,ПЛОВДИВ,Пловдив,бул. Христо Ботев 81,"АНГЕЛ ТЕОФИЛОВ ГОЗМАНОВ, АНГЕЛ ХАРАЛАМБИЕВ ПЕЕВ, АТАНАС ЙОРДАНОВ КАЛЧЕВ, ЕЛЕНА ЛЮБОМИРОВНА ОПИНЧЕВА","032/609865, 032/609878, 032/631365, 032/609800",42.1363689,24.7570999,nominatim_free,"Гирос Оригинал, 81, бул. Христо Ботев, Военна болница, Централен, Пловдив, 4000, България",100
МБАЛ-Раковски ЕООД,Пловдив,РАКОВСКИ,Раковски,ул. Михаил Добромиров 1,"Д-Р ИВАН ЙОСИФОВ ТОМБАШКИ, ГЕРГАНА ТОДОРОВА МАНОЛОВА, ПЕТЪР СТОЯНОВ МУХОВСКИ","03151/2445, 03151/2197",42.2822271,24.9404338,nominatim_free,"Михаил Добромиров, Квартал Генерал Николаево, Раковски, Пловдив, 4150, България",95
МБАЛ-ГУЛЯНЦИ ЕООД,Плевен,ГУЛЯНЦИ,Гулянци,ул. Васил Левски 34,Д-Р АНДРИАН МИТКОВ ЯКОВ,"06561/3079, 0887519571",43.6395594,24.6957082,nominatim_free,"МБАЛ Гулянци, 34, Васил Левски, Гулянци, Плевен, България",100
МБАЛ-Добрич АД,Добрич,ДОБРИЧ-ГРАД,Добрич,ул. Панайот Хитов 24,"Д-Р ГЕОРГИ МИТКОВ ЖЕЛЯЗКОВ, ЖАНИНА ПЕТРОВА КАЛИНКОВА-ДИНОВСКА, МАРИЯН ИВАНОВ АНАНИЕВ, КРАСИМИР ЖЕЛЕВ НИКОЛОВ, ТРИФОН ВЛАДИМИРОВ ЙОРДАНОВ, СВЕТОЗАР БАЙЧЕВ ПЕТРОВ","058/600160, 058/600414",43.5619362,27.8170904,nominatim_free,"24, Панайот Хитов, ЦГЧ, Добрич, 9300, България",100
МБАЛ-Света Петка АД - Видин,Видин,ВИДИН,Видин,ул. Цар Симеон Велики 119,"Д-Р ИВЕТА ГЕНКОВА НАЙДЕНОВА, Д-Р ЛЪЧЕЗАР ВЕЛКОВ БЛАЖЕВ, Д-Р ЦВЕТАН ИВАНОВ ВАСИЛЕВ, Д-Р ВИОЛЕТА ИЛИЕВА ДОЧКОВА",094/606025,43.9969127,22.8773112,nominatim_free,"МБАЛ ""Света Петка"", 119, Цар Симеон Велики, ж.к. Възраждане, Видин, 3701, България",100
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СЪРЦЕ И МОЗЪК ЕАД,Плевен,ПЛЕВЕН,Плевен,ул. Пиер Кюри 2,"ЛЮБА МАРТИНОВА МИТЕВА-ВАСИЛЕВА, ЕЛЕНА ГЕОРГИЕВА НОЕВА",0878859167,43.4100992,24.6078583,nominatim_free,"2, Пиер Кюри, 9-ти квартал, Централна градска част, Плевен, 5800, България",100
МС Здраве Пазарджик,Пазарджик,ПАЗАРДЖИК,Пазарджик,ул. Константин Величков 50,"МАРИАНА ИВАНОВА ДИНКОВА, ЦВЕТАНКА ПЕТРОВА ЛЕПАРОВА, ЙОРДАН ЛЮБЕНОВ ПЕЛЕВ, СТОИЛ ГЕОРГИЕВ АПОСТОЛОВ",034/406133,42.5122021,24.1809738,nominatim_free,"Константин Величков, Панагюрище, Пазарджик, 4500, България",95
МЦ АСКЛЕПИЙ ООД,Кюстендил,САПАРЕВА БАНЯ,Сапарева Баня,ул. Германея 38,КРУМ БОГДАНОВ БОНЕВ,0701/50616,42.2881935,23.2537851,nominatim_free,"Аква клуб ""Котвата"", 38А, Германея, Сапарева баня, Кюстендил, 2650, България",90
МЦ АСКЛЕПИЙ ООД,Кюстендил,ДУПНИЦА,Дупница,ул. Солун 4,КРУМ БОГДАНОВ БОНЕВ,0701/50616,42.2659242,23.1188281,nominatim_free,"Солун, кв. Люляк, Дупница, Кюстендил, 2604, България",85
МЦ ВЕРЕЯ ЕООД,Стара Загора,КАЗАНЛЪК,Казанлък,ул. Александър Батенберг 1,ДОЦ. Д-Р ДИМИТЪР НИКОЛОВ ДЖЕЛЕБОВ,042/601460,42.6185876,25.3940305,nominatim_free,"Lilly, 1, Княз Александър Батенберг, Казанлък, Стара Загора, 6100, България",100
МЦ ВЕРЕЯ ЕООД,Стара Загора,КАЗАНЛЪК,Казанлък,ул. Стара Планина 12,ДОЦ. Д-Р ДИМИТЪР НИКОЛОВ ДЖЕЛЕБОВ,042/601460,42.6219025,25.3877961,nominatim_free,"кафе ""Червено и черно"", 12, Стара планина, ж.к. Васил Левски, Казанлък, Стара Загора, 6100, България",100
МЦ Вита Медика ЕООД,Разград,РАЗГРАД,Разград,ул. Странджа 9,ЕВГЕНИЯ АНДРЕЕВА КЕРЧЕВА,"0898492315, 084/656656",43.5297836,26.5205932,nominatim_free,"""Вита Медика"" ЕАД, 9, бул. Странджа, кв. Варош, Разград, 7200, България",90
МЦ Витамед ЕООД,Пловдив,КАРЛОВО,Карлово,ул. Тодор и Ана Пулеви 18 2 и 3,"Д-Р СТАНИМИР МАРИНОВ ЧЕШМЕДЖИЕВ, ВЕРКА ВЕЛЕВА ДОНЧЕВА","0335/92104, 0335/98872",42.6397684,24.8050476,nominatim_free,"Тодор и Ана Пулеви, Карлово, Пловдив, 4300, България",95
МЦ Витамед ЕООД,Пловдив,КАРЛОВО,Карлово,ул. Ген. Гурко Мархолев 3,"Д-Р СТАНИМИР МАРИНОВ ЧЕШМЕДЖИЕВ, ВЕРКА ВЕЛЕВА ДОНЧЕВА","0335/92104, 0335/98872",42.6448182,24.7998817,nominatim_free,"Генерал Гурко Мархолев, кв. Бадемлика, Карлово, Пловдив, 4300, България",95
МЦ Луксор EООД,Пловдив,ПЛОВДИВ,Пловдив,бул. България 59,"Д-Р ДИМИТЪР ГЕОРГИЕВ ТАСКОВ, НИНА СТАНЕВА СТОЯНОВА",032/968881,42.1587271,24.7395936,nominatim_free,"Очна Клиника ""Луксор"", 59, бул. България, Герджика, Северен, Пловдив, 4003, България",90
МЦ Надежда ООД,Благоевград,БЛАГОЕВГРАД,Благоевград,жк Запад 11,НАДЕЖДА ВЕСЕЛИНОВА КОСТАДИНОВА-ГОЦЕВА,"073/833192, 0897978363",42.0183814,23.0841236,nominatim_free,"бл. 11, ж.к. Запад, Благоевград, 2700, България",85
МЦ ПО ОЧНИ БОЛЕСТИ Д-Р МАРИНОВИ ООД,Шумен,ШУМЕН,Шумен,ул. Цар Освободител 100,МАРИН ГЕОРГИЕВ МАРИНОВ,"0899496044, 0896540090",43.2728625,26.9266203,nominatim_free,"100, Цар Освободител, ж.к. Южен бряг, Шумен, 9700, България",90
МЦ Ре Спиро ООД,Разград,РАЗГРАД,Разград,ул. Кирил и Методий 2,ИВАН АТАНАСОВ КИСЕЛОВ,0886430823,43.5255966,26.5264566,nominatim_free,"2, Св. Св. Кирил и Методий, кв. Варош, Разград, 7200, България",100
МЦ СВЕТА МАРИНА-ДИАГНОСТИКА И ТЕРАПИЯ ООД,Плевен,ПЛЕВЕН,Плевен,ул. Цар Симеон 23,"Д-Р ЖИТИАН АЛЕКСАНДРОВ АТАНАСОВ, ПРОФ. Д-Р ГРИГОР АНГЕЛОВ ГОРЧЕВ","064/806838, 064/8181, 064/805666",43.6472778,24.6926315,nominatim_free,"23, Цар Симеон, Гулянци, Плевен, България",90
МЦ СВЕТА МАРИНА-ДИАГНОСТИКА И ТЕРАПИЯ ООД,Плевен,ПЛЕВЕН,Плевен,пл. Възраждане 1,"Д-Р ЖИТИАН АЛЕКСАНДРОВ АТАНАСОВ, ПРОФ. Д-Р ГРИГОР АНГЕЛОВ ГОРЧЕВ","064/806838, 064/8181, 064/805666",43.40791,24.6193607,nominatim_free,"пл. Възраждане, 9-ти квартал, Централна градска част, Плевен, 5801, България",80
МЦ Света Елисавета -Раковски ЕООД,Пловдив,ПЛОВДИВ,Пловдив,ул. Велико Търново 21,"Д-Р АНДРЕЙ ЙОЗОВ БАКЪРДЖИЙСКИ, ЕЛЕНА МИХАЙЛОВА ИВАНОВА, КИРИЛ ГЕНОВ КАРАГЕОРГИЕВ, ЕЛЕНА ПЕТРОВА КОЛАРОВА","03151/2429, 03151/2033",42.1402078,24.7467448,nominatim_free,"Медикус Алфа, 21, Велико Търново, Триъгълника, Гроздов пазар, Централен, Пловдив, 4000, България",100
МЦ Света Елисавета -Раковски ЕООД,Пловдив,РАКОВСКИ,Раковски,ул. Васил Петлешков 1,"Д-Р АНДРЕЙ ЙОЗОВ БАКЪРДЖИЙСКИ, ЕЛЕНА МИХАЙЛОВА ИВАНОВА, КИРИЛ ГЕНОВ КАРАГЕОРГИЕВ, ЕЛЕНА ПЕТРОВА КОЛАРОВА","03151/2429, 03151/2033",42.2825686,24.964661,nominatim_free,"Васил Петлешков, Квартал Генерал Николаево, Раковски, Пловдив, 4150, България",95
МЦ-МЕДИЦИНСКИ КОМПЛЕКС БЕРОЕ ЕООД,Стара Загора,КАЗАНЛЪК,Казанлък,ул. Христо Ботев 78,Д-Р НИКОЛАЙ НЕШЕВ САЛУТСКИ,"042/919402, 0892257396",42.6215585,25.3876102,nominatim_free,"Медицински Център Казанлък, 78, Христо Ботев, Казанлък, Стара Загора, 6100, България",100
Медикус Алфа СХБАЛ ЕООД Пловдив,Пловдив,ПЛОВДИВ,Пловдив,ул. Велико Търново 21,Д-Р ДИНКО МЛАДЕНОВ ГОСПОДИНОВ,"032/634463, 0898416038",42.1402078,24.7467448,nominatim_free,"Медикус Алфа, 21, Велико Търново, Триъгълника, Гроздов пазар, Централен, Пловдив, 4000, България",100
Многопрофилна болница за активно лечение Свети Иван Рилски Габрово ЕООД,Габрово,ГАБРОВО,Габрово,бул. Трети март 9,"ДОБРОМИР ИЛИЕВ ИЛКОВСКИ, ИНА СТОЯНОВА ФИЛИПОВА",0884494924,42.851559,25.3226116,nominatim_free,"МБАЛ ""Свети Иван Рилски"" – Габрово, 9, бул. Трети март, кв. Шиваров мост, кв. Радичевец, Габрово град, Габрово, 5304, България",100
ПЪРВА ЧАСТНА МБАЛ Враца ЕООД,Враца,ВРАЦА,Враца,ул. Скакля 6,"Д-Р ПЛАМЕН ЦЕНОВ БЛАЖЕВ, Д-Р АНТОНИО ИЛИЕВ ГЕОРГИЕВ, Д-Р ДАРИН ВАСИЛЕВ ДРАГАНОВ","0887999091, 0878660501, 092/665757, 0878687646",43.1966561,23.562607,nominatim_free,"Първа Частна МБАЛ-Враца, 6, Скакля, кв. Медковец, ж.к. Вежен, Враца, 3000, България",90
СБАЛ ПО КАРДИОЛОГИЯ ЯМБОЛ ЕАД,Ямбол,ЯМБОЛ,Ямбол,ул. Димитър Благоев 69,"СИДИКУЛАХ РАХИМИ, МАРИАН ТОДОРОВ ИНГЕЛИЕВ, БОРИС ПЕТКОВ ЧОРБАДЖИЙСКИ, БИСТРА СТОИЧКОВА ПЕШЕВА-МУСИЕВСКА, ПЕТЯ ИВАНОВА ДИНОВСКА, МЛАДЕН ВЛАДИМИРОВ ГРИГОРОВ","046/662215, 046/662377, 046/662389",42.4869046,26.5173794,nominatim_free,"СБАЛ по кардиология, 69, бул. Димитър Благоев, ж.к. Боровец, Ямбол, 8600, България",100
СБАЛ ПФЗ Д-р Димитър Граматиков Русе ЕООД,Русе,РУСЕ,Русе,ул. Алея Лилия 1,"СВЕТОСЛАВ ДАЧЕВ ДАЧЕВ, ДИМИТЪР СТОЯНОВ ГРАМАТИКОВ",082/813960,43.8592199,25.9632346,nominatim_free,"Специализирана болница за активно лечение за пневмо – фтизиатрични заболявания Д-р ""Димитър Граматиков"", 1, Алея Лилия, ж.к. Възраждане, Русе, 7002, България",100
СБАЛ ФРМ МЕДИКА ООД Русе,Русе,РУСЕ,Русе,ул. Независимост 2,КИРИЛ ПАНАЙОТОВ ПАНАЙОТОВ,0885304040,43.8572647,25.960608,nominatim_free,"Независимост, ж.к. Възраждане, Русе, 7002, България",85
СБАЛ по кардиология Варна ЕАД,Варна,ВАРНА,Варна,бул. Цар Освободител 100,"Д-Р ХАРАЛИН СТОЯНОВ ТУМБЕВ, ПРОФ. Д-Р МЛАДЕН ВЛАДИМИРОВ ГРИГОРОВ, ПРОФ. Д-Р НИКОЛАЙ ЙОРДАНОВ ПЕНКОВ","052/648020, 052/603203",43.2136534,27.9182217,nominatim_free,"СБАЛ по кардиология, 100, бул. Цар Освободител, Цветен квартал, Варна, Приморски, Варна, 9000, България",90
СБАЛАГ Торакс Д-р Сава Бояджиев ЕООД Пловдив,Пловдив,ПЛОВДИВ,Пловдив,ул. Димитър Цончев 5,"Д-Р ИВАН ТОНОВ ГЛАВЧЕВ, ЮРИ СПАСОВ, ГЕОРГИ ИВАНОВ БЛАГОЕВ","032/625125, 0887594916",42.150767,24.7432498,nominatim_free,"Д-р Юрий Асенов - Пластичен Хирург, 5, Димитър Цончев, Капана, Централен, Пловдив, 4020, България",100
СБАЛББ Габрово ЕООД,Габрово,ГАБРОВО,Габрово,ул. д-р Кирил Въгленов 1,"ИВО ГИЧЕВ СТАНЧЕВ, АНТОНИЯ ГЕОРГИЕВА КОЛЕВА",066/878670,42.8438009,25.3145644,nominatim_free,"СБАЛ по Белодробни Болести- Габрово-ПАРАХОДА, 1, д-р Кирил Въгленов, кв. Дядо Дянко, Габрово град, Габрово, 5304, България",100
СБАЛК Велико Търново ЕАД,Велико Търново,ВЕЛИКО ТЪРНОВО,Велико Търново,ул. Бузлуджа 1,"МАРИЯНА РАЙКОВА ГЕОРГИЕВА, Д-Р ПЕТЯ ИВАНОВА ДИНОВСКА, ПРОФ. МЛАДЕН ВЛАДИМИРОВ ГРИГОРОВ, Д-Р НОРА ГЕОРГИЕВА ЦВЕТКОВА, Д-Р ЙОРДАНКА ТОМОВА-ДИМОВА, Д-Р СОТИР ТОДОРОВ МАРЧЕВ","062/632020, 062/624030",43.1095857,25.7137869,nominatim_free,"Бузлуджа, Лясковец, Велико Търново, 5140, България",85
СБАЛК Медика Кор ЕАД Русе,Русе,РУСЕ,Русе,ул. Независимост 2,КИРИЛ ПАНАЙОТОВ ПАНАЙОТОВ,"082/887363, 0885304040",43.8572647,25.960608,nominatim_free,"Независимост, ж.к. Възраждане, Русе, 7002, България",85
СБАЛК ПО КАРДИОЛОГИЯ МАДАРА ЕАД ШУМЕН,Шумен,ШУМЕН,Шумен,ул. Васил Априлов 63,"МАРТИН СТОЙНЕВ СТОЙНЕВ, ИВАЙЛО ВЛАДИМИРОВ ДОЙЧИНОВ","054/801260, 054/801261",43.2755071,26.9171495,nominatim_free,"МБАЛ-Шумен, 63, Васил Априлов, Азалия, м. Бялата пръст, Шумен, 9705, България",100
